| 1 | academic_integrity | Administration & Governance | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | E2E path and gate evidence | gate continuity | high | medium | A-026.7 |
| 50 | exam_governance | Core Academic | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | exam metrics mapping | lineage mapping | medium | high | A-026.6 |
| 51 | exam_integrity_analytics | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | integrity analytics contract | contract tests | medium | high | A-026.3 |
| 52 | exam_proctoring | Workflow & Process Automation | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | proctoring E2E and gates | gate continuity | high | high | A-026.7 |
| 53 | expense_controls | Finance & Billing | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | expense E2E and gates | gate continuity | high | high | A-026.7 |
| 54 | facilities_work_orders | Workflow & Process Automation | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | work order KPI mapping | lineage mapping | medium | medium | A-026.6 |
| 55 | faculty | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | faculty workload signal | mapping tests | medium | high | A-026.6 |
| 56 | faculty_copilot | Research & Innovation | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | copilot research signal | mapping tests | medium | high | A-026.6 |
| 57 | faculty_performance_kpis | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | performance KPI lineage | lineage mapping | medium | high | A-026.6 |
| 58 | feature_flags | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L5 | verify feature flag scope | contract tests | medium | low | A-026.5 |
| 59 | federation_management | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | federation FSM logic | transition tests | medium | low | A-026.4 |
| 60 | financial_aid | Finance & Billing | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | aid E2E and gates | gate continuity | high | high | A-026.7 |
| 61 | grades | Core Academic | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | grading KPI lineage | lineage mapping | medium | high | A-026.6 |
| 62 | health_services | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | health service logic | transition tests | medium | low | A-026.4 |
| 63 | help | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L5 | verify help desk scope | contract tests | medium | low | A-026.5 |
| 64 | housing | Student & Campus Life | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | housing KPI mapping | lineage mapping | medium | medium | A-026.6 |
| 65 | hr_payroll | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | payroll KPI lineage | lineage mapping | medium | high | A-026.6 |
| 66 | human_approved_timetable_workflow | Planned Expansion | L0 | A | A-023.0 section 9 | VERIFICATION_PENDING | foundation_missing | L2 | foundation + service contract | import + contract tests | medium | high | A-026.3 |
| 67 | i18n | Integrations & Platform | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L5 | verify i18n contract completeness | contract tests | medium | low | A-026.5 |
| 68 | identity | Identity/Access/Security | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | identity event mapping | mapping tests | medium | high | A-026.6 |
| 69 | integrations | Integrations & Platform | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L5 | verify integration breadth | contract tests | medium | low | A-026.5 |
| 70 | internship | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | internship API visibility | route tests | medium | medium | A-026.5 |
| 71 | internship_marketplace | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | marketplace service contract | contract tests | medium | high | A-026.3 |
| 72 | interventions | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | intervention signal mapping | mapping tests | medium | high | A-026.6 |
| 73 | invoices | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | invoice KPI lineage | lineage mapping | medium | high | A-026.6 |
| 74 | ip_management | Research & Innovation | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | IP portfolio signal | mapping tests | medium | medium | A-026.6 |
| 75 | jobs | Integrations & Platform | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L5 | verify job board scope | contract tests | medium | low | A-026.5 |
| 76 | knowledge_retrieval | Research & Innovation | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | retrieval signal mapping | mapping tests | medium | high | A-026.6 |
| 77 | lab_operations | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | lab operations contract | contract tests | medium | high | A-026.3 |
| 78 | ldap | Identity/Access/Security | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L5 | verify LDAP integration scope | contract tests | medium | medium | A-026.5 |
| 79 | library | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | library API visibility | route tests | medium | medium | A-026.5 |
| 80 | library_circulation | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | circulation FSM logic | transition tests | medium | high | A-026.4 |
| 81 | lms_assessment_center | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | assessment service contract | contract tests | medium | high | A-026.3 |
| 82 | lms_content | Administration & Governance | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | content API visibility | route tests | medium | medium | A-026.5 |
| 83 | local_user_management | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | tenant_guard_missing | L3 | user management tenant guards | tenant tests | high | high | A-026.4 |
| 84 | mobile_app | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | frontend_missing | L4 | mobile app frontend visibility | frontend tests | medium | medium | A-026.5 |
| 85 | mobile_push_gateway | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | push gateway contract | contract tests | medium | high | A-026.3 |
| 86 | model_evaluation | Research & Innovation | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | model eval signal mapping | mapping tests | medium | high | A-026.6 |
| 87 | notification_center | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | tenant_guard_missing | L2 | tenant-safe notification contract | tenant tests | high | high | A-026.3 |
| 88 | observability | Integrations & Platform | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | observability API readiness | route tests | medium | low | A-026.5 |
| 89 | online_payments | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | payment KPI lineage | lineage mapping | medium | high | A-026.6 |
| 90 | operations | Administration & Governance | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | ops E2E and gates | gate continuity | high | high | A-026.7 |
| 91 | org_structure | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | org KPI mapping | lineage mapping | medium | low | A-026.6 |
| 92 | parent_engagement | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | parent engagement contract | contract tests | medium | high | A-026.3 |
| 93 | parent_portal | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | parent portal API | route tests | medium | medium | A-026.5 |
| 94 | parking | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | parking API visibility | route tests | medium | low | A-026.5 |
| 95 | parking_enforcement | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | enforcement contract | contract tests | medium | high | A-026.3 |
| 96 | parking_permit_ops | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | permit operations contract | contract tests | medium | high | A-026.3 |
| 97 | patents | Research & Innovation | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | patent API visibility | route tests | medium | low | A-026.5 |
| 98 | payment_reconciliation | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | reconciliation KPI mapping | lineage mapping | medium | high | A-026.6 |
| 99 | pdpl | Identity/Access/Security | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L5 | verify PDPL contract completeness | contract tests | medium | medium | A-026.5 |
| 100 | plans | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | planning KPI mapping | lineage mapping | medium | low | A-026.6 |
| 101 | platform | Integrations & Platform | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L5 | verify platform contract | contract tests | medium | low | A-026.5 |
| 102 | platform_health | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | health FSM logic | transition tests | medium | low | A-026.4 |
| 103 | platform_shared | Integrations & Platform | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | shared services API | route tests | medium | low | A-026.5 |
| 104 | procurement | Finance & Billing | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | procurement E2E and gates | gate continuity | high | high | A-026.7 |
| 105 | procurement_approval_workflow | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | approval workflow FSM | transition tests | medium | high | A-026.4 |
| 106 | profiles | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | profile signal mapping | mapping tests | medium | low | A-026.6 |
| 107 | programs | Core Academic | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | program KPI mapping | lineage mapping | medium | high | A-026.6 |
| 108 | prompt_management | Research & Innovation | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | prompt signal mapping | mapping tests | medium | high | A-026.6 |
| 109 | publication_registry | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | publication registry contract | contract tests | medium | high | A-026.3 |
| 110 | publications | Research & Innovation | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | publications API visibility | route tests | medium | low | A-026.5 |
| 111 | quotas | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | quota KPI lineage | lineage mapping | medium | low | A-026.6 |
| 112 | rbac | Identity/Access/Security | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | RBAC event mapping | mapping tests | medium | high | A-026.6 |
| 113 | records_hub | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | records hub contract | contract tests | medium | high | A-026.3 |
| 114 | research | Research & Innovation | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | research E2E and gates | gate continuity | high | high | A-026.7 |
| 115 | research_ethics | Research & Innovation | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | ethics E2E and gates | gate continuity | high | high | A-026.7 |
| 116 | research_grants | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | grants FSM logic | transition tests | medium | high | A-026.4 |
| 117 | research_projects | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | projects service contract | contract tests | medium | high | A-026.3 |
| 118 | room_booking | Core Academic | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | room booking E2E gates | gate continuity | high | high | A-026.7 |
| 119 | scheduling | Core Academic | L6 | F | A-023.0 | EVIDENCED_LEVEL_ONLY | preserve_only | L6 | preserve gate continuity | regression tests | medium | high | A-026.7 |
| 120 | scholarship | Finance & Billing | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | scholarship E2E gates | gate continuity | high | high | A-026.7 |
| 121 | security | Identity/Access/Security | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | security E2E and gates | gate continuity | high | high | A-026.7 |
| 122 | security_operations | Identity/Access/Security | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | security ops E2E gates | gate continuity | high | high | A-026.7 |
| 123 | service_accounts | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | account signal mapping | mapping tests | medium | low | A-026.6 |
| 124 | sso_saml | Identity/Access/Security | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | SAML API visibility | route tests | medium | high | A-026.5 |
| 125 | student_ai_tutor | Research & Innovation | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | tutor FSM logic | transition tests | medium | high | A-026.4 |
| 126 | student_feedback | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | feedback API visibility | route tests | medium | low | A-026.5 |
| 127 | student_id_card | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | ID card API visibility | route tests | medium | low | A-026.5 |
| 128 | student_life | Student & Campus Life | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | life KPI mapping | lineage mapping | medium | medium | A-026.6 |
| 129 | student_portal | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | portal API visibility | route tests | medium | medium | A-026.5 |
| 130 | student_services | Student & Campus Life | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | services KPI mapping | lineage mapping | medium | medium | A-026.6 |
| 131 | student_success_analytics | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | success analytics contract | contract tests | medium | high | A-026.3 |
| 132 | students | Student & Campus Life | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | student KPI mapping | lineage mapping | medium | high | A-026.6 |
| 133 | subscriptions | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | subscription KPI lineage | lineage mapping | medium | low | A-026.6 |
| 134 | syllabus_governance | Core Academic | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | syllabus signal mapping | mapping tests | medium | high | A-026.6 |
| 135 | teaching_quality | Core Academic | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | quality signal mapping | mapping tests | medium | high | A-026.6 |
| 136 | tenants | Identity/Access/Security | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | tenant event mapping | mapping tests | medium | high | A-026.6 |
| 137 | thesis | Research & Innovation | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | thesis E2E and gates | gate continuity | high | high | A-026.7 |
| 138 | timetable_approval_queue | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | queue contract + status | contract tests | medium | high | A-026.3 |
| 139 | timetable_change_kpi_dashboard | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L2 | verify backend contract dependency | verification tests | medium | medium | A-026.3 |
| 140 | timetable_change_proposal | Planned Expansion | L0 | A | A-023.0 section 9 | VERIFICATION_PENDING | foundation_missing | L2 | proposal service contract | contract tests | medium | high | A-026.3 |
| 141 | timetable_change_simulation | Planned Expansion | L0 | A | A-023.0 section 9 | VERIFICATION_PENDING | service_contract_missing | L2 | simulation contract + guards | negative + contract tests | medium | high | A-026.3 |
| 142 | timetable_recommendation_bridge | Planned Expansion | L0 | A | A-023.0 section 9 | VERIFICATION_PENDING | service_contract_missing | L2 | bridge deterministic contract | deterministic unit tests | medium | high | A-026.3 |
| 143 | transcripts | Core Academic | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | transcript KPI mapping | lineage mapping | medium | high | A-026.6 |
| 144 | transport | Student & Campus Life | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | transport KPI mapping | lineage mapping | medium | low | A-026.6 |
| 145 | two_factor_auth | Identity/Access/Security | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | 2FA API visibility | route tests | medium | high | A-026.5 |
| 146 | university_core | Administration & Governance | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L4 | evidence reconsolidation | verification tests | medium | medium | A-026.5 |
| 147 | usage | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | usage KPI lineage | lineage mapping | medium | high | A-026.6 |
| 148 | visitor_management | Student & Campus Life | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | visitor E2E and gates | gate continuity | high | high | A-026.7 |
| 149 | workflows | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | workflow signal mapping | mapping tests | medium | medium | A-026.6 |
| 150 | workload_management | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | workload contract | contract tests | medium | high | A-026.3 |
